346,1618,Summer,1952,"Canoeing Men's Kayak Doubles, 10,000 metres",Silver
347,1619,Summer,1932,Sailing Mixed 6 metres,Gold
348,1622,Summer,1996,Football Women's Football,Gold
349,1634,Summer,2016,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
350,1637,Summer,1980,Volleyball Women's Volleyball,Gold
351,1639,Winter,1998,Biathlon Women's 4 x 7.5 kilometres Relay,Silver
352,1639,Winter,2002,Biathlon Women's 4 x 7.5 kilometres Relay,Bronze
353,1639,Winter,2006,Biathlon Women's 10 kilometres Pursuit,Bronze
354,1639,Winter,2006,Biathlon Women's 15 kilometres,Bronze
355,1639,Winter,2006,Biathlon Women's 4 x 6 kilometres Relay,Gold
356,1647,Summer,2016,Boxing Men's Bantamweight,Bronze
357,1649,Summer,2016,"Fencing Men's Foil, Team",Gold
358,1650,Summer,2008,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
359,1652,Summer,1964,"Wrestling Men's Heavyweight, Freestyle",Silver
360,1654,Summer,1980,Hockey Women's Hockey,Bronze
361,1659,Summer,1960,Rowing Men's Coxless Fours,Bronze
362,1662,Summer,1968,Hockey Men's Hockey,Gold
363,1665,Summer,1984,Hockey Men's Hockey,Gold
364,1673,Summer,1972,Athletics Men's 400 metres Hurdles,Gold
365,1676,Summer,1972,Water Polo Men's Water Polo,Gold
366,1678,Summer,1980,Water Polo Men's Water Polo,Gold
367,1682,Summer,2016,Athletics Women's 4 x 100 metres Relay,Gold
368,1683,Summer,2012,Volleyball Women's Volleyball,Silver
369,1683,Summer,2016,Volleyball Women's Volleyball,Bronze
370,1698,Summer,2004,Weightlifting Men's Middle-Heavyweight,Silver
371,1698,Summer,2008,Weightlifting Men's Middle-Heavyweight,Bronze
372,1700,Summer,2000,Water Polo Women's Water Polo,Bronze
373,1713,Summer,1992,Weightlifting Men's Heavyweight II,Silver
374,1716,Summer,2016,Football Men's Football,Bronze
375,1730,Summer,2016,"Fencing Women's Sabre, Team",Bronze
376,1732,Summer,1976,Athletics Women's 4 x 400 metres Relay,Bronze
377,1734,Summer,1976,Athletics Men's 4 x 100 metres Relay,Bronze
378,1734,Summer,1980,Athletics Men's 4 x 100 metres Relay,Gold
379,1740,Summer,1996,Rowing Men's Coxed Eights,Bronze
380,1742,Summer,1980,Swimming Women's 4 x 100 metres Medley Relay,Bronze
381,1758,Summer,1976,Sailing Mixed Two Person Keelboat,Silver
382,1762,Summer,2004,Boxing Men's Heavyweight,Bronze
383,1809,Summer,2012,Shooting Men's Skeet,Bronze
384,1858,Summer,2000,Shooting Men's Double Trap,Bronze
385,1858,Summer,2012,Shooting Men's Trap,Bronze
386,1858,Summer,2016,Shooting Men's Double Trap,Gold
387,1885,Summer,2012,"Equestrianism Mixed Jumping, Team",Bronze
388,1889,Summer,2000,"Equestrianism Mixed Jumping, Individual",Bronze
389,1949,Summer,1984,Hockey Men's Hockey,Gold
390,2025,Summer,2004,Shooting Men's Double Trap,Gold
391,2112,Summer,2016,Shooting Men's Skeet,Bronze
392,2134,Summer,2012,"Equestrianism Mixed Jumping, Team",Bronze
393,2170,Summer,2000,Athletics Men's 400 metres Hurdles,Silver
394,2210,Summer,2012,Sailing Women's Windsurfer,Gold
395,2212,Summer,1964,Basketball Men's Basketball,Silver
396,2225,Summer,1972,"Wrestling Men's Flyweight, Freestyle",Silver
397,2233,Summer,1956,Hockey Men's Hockey,Silver
398,2233,Summer,1960,Hockey Men's Hockey,Gold
399,2256,Summer,1992,Basketball Men's Basketball,Silver
400,2274,Winter,1994,Ice Hockey Men's Ice Hockey,Bronze
401,2275,Winter,1960,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
402,2295,Summer,1968,Sailing Mixed One Person Dinghy,Bronze
403,2296,Winter,1992,Cross Country Skiing Men's 10 kilometres,Silver
404,2296,Winter,1992,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
405,2296,Winter,1994,Cross Country Skiing Men's 10 kilometres,Bronze
406,2296,Winter,1994,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
407,2296,Winter,1998,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
408,2302,Summer,1920,Tennis Men's Doubles,Bronze
409,2306,Summer,2012,Weightlifting Men's Super-Heavyweight,Bronze
410,2307,Summer,2000,Football Men's Football,Silver
411,2311,Summer,1984,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
412,2313,Summer,1976,Water Polo Men's Water Polo,Silver
413,2316,Summer,1900,Rugby Men's Rugby,Gold
414,2317,Summer,1900,Sailing Mixed 1-2 Ton,Silver
415,2317,Summer,1900,Sailing Mixed 1-2 Ton,Bronze
416,2322,Summer,1960,Football Men's Football,Bronze
417,2342,Summer,2012,Handball Women's Handball,Bronze
